Pobranie próbek;Otrzymanie wyników;Ogółem;Cielna;Niecielna;Powtórz badanie;Zapisano;Błąd;
2024-03-05;2024-03-05;4;3;1;;;4;
2024-06-06;2024-06-06;19;14;5;;;19;
2024-07-03;2024-07-03;8;4;4;;;8;
2024-09-04;2024-09-04;18;14;3;1;;18;
2024-10-05;2024-10-05;2;1;;1;;2;
2024-11-06;2024-11-06;10;8;1;1;;10;
2024-12-03;2024-12-03;6;4;1;1;;6;
2025-02-03;2025-02-03;14;13;1;;;14;
2025-03-04;2025-03-04;1;1;;;;1;
2025-04-02;2025-04-02;5;3;2;;;5;
2025-05-08;2025-05-08;13;7;5;1;;13;
2025-06-05;2025-06-05;12;4;8;;;12;
2025-07-07;2025-07-07;12;9;2;1;;12;
2025-08-11;2025-08-11;17;14;2;1;;17;
2025-09-11;2025-09-11;13;9;3;1;;13;
2025-10-06;2025-10-06;2;2;;;;2;
2025-11-10;2025-11-10;3;3;;;;3;
2025-12-04;2025-12-04;15;14;1;;;15;
2026-02-02;2026-02-02;3;3;;;;3;
2026-03-02;2026-03-02;5;5;;;;5;
