Lp;Kolczyk;Nazwa;Pobranie próbki;Wynik
1;PL005380843476;DODA;2025-09-11;Cielna
2;PL005380843476;DODA;2026-05-06;Niecielna
3;PL005380843476;DODA;2026-07-02;Niecielna
4;PL005380843797;CUKIEREK;2026-05-06;Cielna
5;PL005380843797;CUKIEREK;2026-07-02;Cielna
6;PL005380843810;TASIA;2026-05-06;Niecielna
7;PL005380843810;TASIA;2026-07-02;Niecielna
8;PL005380843834;MISKA;2025-09-11;Niecielna
9;PL005380843834;MISKA;2025-11-10;Cielna
10;PL005380843834;MISKA;2026-02-02;Cielna
11;PL005380843841;MINI;2025-11-10;Cielna
12;PL005380843841;MINI;2026-05-06;Powtórz
13;PL005380843841;MINI;2026-07-02;Cielna
14;PL005380843865;BIANKA;2026-05-06;Cielna
15;PL005380843865;BIANKA;2026-07-02;Cielna
16;PL005399718253;DELMA;2025-08-11;Cielna
17;PL005399718253;DELMA;2025-09-11;Cielna
18;PL005399718253;DELMA;2026-07-02;Niecielna
19;PL005399718277;KAMA;2026-05-06;Niecielna
20;PL005399718277;KAMA;2026-07-02;Niecielna
21;PL005399718284;DELICJA;2025-08-11;Cielna
22;PL005399718284;DELICJA;2025-09-11;Cielna
23;PL005399718284;DELICJA;2026-05-06;Niecielna
24;PL005399718284;DELICJA;2026-07-02;Cielna
25;PL005399718291;TAMARA;2025-11-10;Cielna
26;PL005399718291;TAMARA;2026-07-02;Niecielna
27;PL005399718369;MIRA;2025-08-11;Cielna
28;PL005399718369;MIRA;2026-05-06;Cielna
29;PL005399718369;MIRA;2026-07-02;Niecielna
30;PL005399718376;MARZANNA;2025-08-11;Cielna
31;PL005399718376;MARZANNA;2025-12-04;Cielna
32;PL005399718376;MARZANNA;2026-05-06;Niecielna
33;PL005399718376;MARZANNA;2026-07-02;Cielna
34;PL005423498755;DANKA;2026-05-06;Cielna
35;PL005423498755;DANKA;2026-07-02;Cielna
36;PL005423498809;TAMA;2026-05-06;Niecielna
37;PL005423498816;ZANA;2026-07-02;Niecielna
38;PL005423498885;TEKLA;2025-09-11;Cielna
39;PL005423498885;TEKLA;2026-07-02;Niecielna
40;PL005423498915;HANKA BIS;2026-05-06;Cielna
41;PL005423498915;HANKA BIS;2026-07-02;Cielna
42;PL005423498922;ZYTA-BIS;2025-08-11;Cielna
43;PL005423498922;ZYTA-BIS;2025-09-11;Cielna
44;PL005423498922;ZYTA-BIS;2026-05-06;Powtórz
45;PL005423498922;ZYTA-BIS;2026-07-02;Cielna
46;PL005423498946;BENITA;2026-02-02;Cielna
47;PL005423498946;BENITA;2026-03-02;Cielna
48;PL005423498960;DAMKA;2025-12-04;Cielna
49;PL005423498960;DAMKA;2026-03-02;Cielna
50;PL005423498977;DGMARA;2025-08-11;Cielna
51;PL005423498977;DGMARA;2025-09-11;Cielna
52;PL005423498977;DGMARA;2025-10-06;Cielna
53;PL005423499080;LOTKA;2025-09-11;Niecielna
54;PL005451141234;KAMELA;2026-07-02;Niecielna
55;PL005451141272;DONATA;2025-08-11;Cielna
56;PL005451141272;DONATA;2025-09-11;Cielna
57;PL005451141272;DONATA;2025-10-06;Cielna
58;PL005451141272;DONATA;2026-05-06;Niecielna
59;PL005451141272;DONATA;2026-07-02;Niecielna
60;PL005451141302;STOKROTKA;2025-09-11;Cielna
61;PL005451141302;STOKROTKA;2026-07-02;Niecielna
62;PL005451141340;RAKIETA;2025-09-11;Niecielna
63;PL005451141340;RAKIETA;2025-12-04;Cielna
64;PL005451141357;DEJZI;2025-08-11;Cielna
65;PL005451141357;DEJZI;2025-12-04;Niecielna
66;PL005451141357;DEJZI;2026-05-06;Niecielna
67;PL005451141357;DEJZI;2026-07-02;Cielna
68;PL005451141418;MEWA;2025-12-04;Cielna
69;PL005451141418;MEWA;2026-02-02;Cielna
70;PL005451141425;MIRELKA;2026-05-06;Cielna
71;PL005451141425;MIRELKA;2026-07-02;Cielna
72;PL005451141432;POLA;2025-08-11;Cielna
73;PL005451141432;POLA;2025-12-04;Cielna
74;PL005451141449;HANIA;2025-08-11;Cielna
75;PL005451141449;HANIA;2025-12-04;Cielna
76;PL005451141449;HANIA;2026-07-02;Niecielna
77;PL005451141463;ELUNIA;2025-12-04;Cielna
78;PL005451141463;ELUNIA;2026-03-02;Cielna
79;PL005451141470;ROLETA;2025-08-11;Cielna
80;PL005451141470;ROLETA;2025-09-11;Cielna
81;PL005451141470;ROLETA;2025-12-04;Cielna
82;PL005451141470;ROLETA;2026-07-02;Cielna
83;PL005451141487;LOLITA;2025-12-04;Cielna
84;PL005451141487;LOLITA;2026-07-02;Cielna
85;PL005451141494;TATRA;2025-12-04;Cielna
86;PL005451141494;TATRA;2026-07-02;Niecielna
87;PL005452069575;DOSIA;2025-12-04;Cielna
88;PL005452069575;DOSIA;2026-03-02;Cielna
89;PL005452069599;MERIDA;2025-08-11;Cielna
90;PL005452069599;MERIDA;2026-05-06;Niecielna
